OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID,SHAPE_Length,SHAPE_Area
1,CHESWICK,BOROUGH,Cheswick Borough,Allegheny Valley North,Allegheny Valley,4,13392,NH,350.19128417,0.54717391,815,003100,7,NEWCOM,East,Alle-Kiski Valley,1966,{F29648DC-0D4F-4E35-8F2D-7B465DCFF308},15780.076352106,15326024.0992573
4,EDGEWORTH,BOROUGH,Edgeworth Borough,Quaker Valley,Quaker Valley,20,22576,AA,1030.74377441,1.61053752,824,003170,1,Northwest Regional,North,Northwest,1974,{7E8BDBA9-9260-48E1-91F0-CB52295B551E},28613.7308767334,46554939.1944339
5,SEWICKLEY,BOROUGH,Sewickley Borough,Quaker Valley,Quaker Valley,20,69376,AA,718.30957031,1.12235879,851,003490,1,Northwest Regional,North,Northwest,1972,{1441BB31-E106-4064-AF15-F91865A3F9CD},42123.876502966,31819248.6978596
6,SEWICKLEY HEIGHTS,BOROUGH,Sewickley Heights Borough, ,Quaker Valley,14,69400,AA,4738.98974609,7.40467166,869,003500,2,Northwest Regional,North,Northwest,1976,{3CE63EFC-D770-42E5-B926-AA5B58A9ED7C},92658.8046093515,204090416.106609
8,HARMAR,TOWNSHIP,Harmar Township,Allegheny Valley North,Allegheny Valley,18,32624,NH,4060.85864257,6.34509229,915,003250,7,NEWCOM,East,Alle-Kiski Valley,1967,{47AC83A5-9584-40E1-83D9-5DBF7CACF798},62601.0754352411,176207373.013672
9,FOX CHAPEL,BOROUGH,Fox Chapel Borough,North Hills,Fox Chapel Area,18,27120,NH,5025.40039062,7.85218763,868,003215,3,NEWCOM,North,North,1961,{9CEC60FE-3B73-46DD-B87E-80C10336C321},90610.1446251302,219518186.399131
12,FRANKLIN PARK,BOROUGH,Franklin Park Borough,North Hills,North Allegheny,14,27552,NH,8670.26953125,13.54729652,884,003223,2,Northwest Regional,North,North,1988,{0036E079-D3E4-4438-B4BC-154C2D49D5DF},90331.9505015565,377617080.185791
13,BELL ACRES,BOROUGH,Bell Acres Borough,Quaker Valley,Quaker Valley,14,5216,AA,3385.00341796,5.28906726,883,003028,2, ,North,Northwest,1978,{14BB2BA1-43DB-4FAA-8606-C1836D8D03A0},66475.7065411938,149196765.302244
14,LEET,TOWNSHIP,Leet Township,Quaker Valley,Quaker Valley,14,42368,AA,1024.35229492,1.60055005,921,003302,1,Northwest Regional,North,Northwest,1974,{095FE692-50DB-4F0D-8E2E-66C529D734B6},29586.2732558481,41869455.8263575
15,LEETSDALE,BOROUGH,Leetsdale Borough,Quaker Valley,Quaker Valley,14,42392,AA,753.32281494,1.17706692,836,003305,1,Northwest Regional,North,Northwest,1974,{CB2B1592-B691-411C-A702-F6DB0518B2CD},28358.4961090995,33463441.4012102
